opponent,v3,Ozzie Sheperd (AI) ,0,2025111316561653
Game,version,date,track,car,event,laptime [s],S1 [s],S2 [s],S3 [s],S4+ [s]
LMU,0.9,2025-11-13 07:05:10,Bahrain International Circuit,Toyota GR010,Practice,109.380,32.884,49.449,27.047
TrackID [int],Tracklen [m],EventID [int],EventID2 [int],Weather [txt],TeamID [int],Tyre [txt],Valid [b],Pitlap [b],Online [b],Lap [int],LapsInRace [int],Fuel at Start [kg],MaxGears [int],MaxRevs [rpm],IdleRevs [rpm},TrackTemp [C],AmbientTemp [C],Windspeed [m/s],WindDirection [ ]
3,5386.80322265625,1,121,Clear,6,Medium,VALID,false,true,15,0,0,0,0,0,41.330642900738496,29.904740957966794,0.0,0.0
FWing,RWing,OnThrottle,OffThrottle,FrontCamber,RearCamber,FrontToe,RearToe,FrontSusp,RearSusp,FrontAntiRoll,RearAntiRoll,FrontSuspH,RearSuspH,BrakePressure,BrakeBias,FLTyrePressure,FRTyrePressure,RLTyrePressure,RRTyrePressure,Ballast,FuelLoad
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
sector [int],laptime [s],lapdistance [m],speed [m/s],throttle [%],brake [%],steer [%],clutch [%],gear [int],drs,revs [int],x [m],y [m],z [m],glat [G],glon [G],erslevel [kj],mguk [kj],mguh [kj]
1,0.42,1.4572494,262.41528,66.087296,0.0,0.19569471,0.0,6,0,7401.0,-240.04994,7.2623153,-219.26836,-0.04688738,0.2918574,0.0,0.0,0.0
1,0.44,2.9157143,262.63202,66.10008,0.0,0.19569471,0.0,6,0,7408.0,-238.5921,7.262955,-219.21396,-0.008470292,0.29685003,0.0,0.0,0.0
1,0.46,4.3747697,262.62796,66.11641,0.0,0.39138943,0.0,6,0,7414.0,-237.13316,7.263931,-219.15996,0.04131262,0.26317433,0.0,0.0,0.0
1,0.48,5.8344283,262.84912,66.11699,0.0,0.39138943,0.0,6,0,7414.0,-235.67352,7.2648263,-219.10655,0.060667757,0.2688514,0.0,0.0,0.0
1,0.5,7.294735,262.86127,66.13895,0.0,0.39138943,0.0,6,0,7424.0,-234.2133,7.256721,-219.05322,0.001944432,0.22951578,0.0,0.0,0.0
1,0.52,32.664745,262.89023,66.17,0.0,0.39138943,0.0,6,0,7439.0,-232.75314,7.2560916,-218.99843,-0.12893662,0.22157948,0.0,0.0,0.0
1,0.54,34.124634,262.66974,66.221954,0.0,0.39138943,0.0,6,0,7468.0,-231.29338,7.255494,-218.94145,-0.12859057,0.1419277,0.0,0.0,0.0
1,0.56,35.586746,263.69022,66.3385,0.0,0.39138943,0.0,6,0,7521.0,-229.83292,7.256371,-218.88249,-0.1415922,0.3019336,0.0,0.0,0.0
1,0.58,37.05293,264.13568,66.25994,0.0,0.39138943,0.0,6,0,7488.0,-228.3703,7.265249,-218.82187,-0.08922786,0.33505878,0.0,0.0,0.0
1,0.6,38.520973,264.3606,66.25994,0.0,0.39138943,0.0,6,0,7488.0,-226.90544,7.265309,-218.76025,-0.089164644,0.33507603,0.0,0.0,0.0
