player,v8,Dean Davids,0,2025111417168338
Game,version,date,track,car,event,laptime [s],S1 [s],S2 [s],S3 [s],S4+ [s]
LMU,0.9,2025-11-14 07:20:40,Bahrain International Circuit,Toyota GR010,Practice,112.993,33.966,51.070,27.957
TrackID [int],Tracklen [m],EventID [int],EventID2 [int],Weather [txt],TeamID [int],Tyre [txt],Valid [b],Pitlap [b],Online [b],Lap [int],LapsInRace [int],Fuel at Start [kg],MaxGears [int],MaxRevs [rpm],IdleRevs [rpm},TrackTemp [C],AmbientTemp [C],Windspeed [m/s],WindDirection [ ]
3,5386.80322265625,1,121,Clear,6,Hard,true,false,true,18,101,40.29890060424805,7,8400.0,1680.0,41.80306839487895,24.023998044965822,0.0,0.0
FWing,RWing,OnThrottle,OffThrottle,FrontCamber,RearCamber,FrontToe,RearToe,FrontSusp,RearSusp,FrontAntiRoll,RearAntiRoll,FrontSuspH,RearSuspH,BrakePressure,BrakeBias,FLTyrePressure,FRTyrePressure,RLTyrePressure,RRTyrePressure,Ballast,FuelLoad
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,
LapDistance [m],LapTime [s],Sector [int],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Gear [int],X [m],Y [m],Z [m]
0.71162486,0.025,0.0,256.24097,7267.8843,100.0,0.0,0.070297286,6.0,-269.26694,7.3010707,-218.97234
1.4235482,0.035,,,,,,,,-268.5558,,
2.1357715,,,,,,,,,-267.8443,,-218.90633
2.8483086,0.055,,,,,,,,-267.13254,,
3.561154,0.065,,,,,,,,-266.42044,,-218.8401
4.274316,,,256.7976,,,,,,-265.70804,,
4.9877877,0.085,,,,,,,,-264.99536,,-218.77368
5.701529,,,,7290.0107,,,,,-264.28238,,
6.415526,0.105,,,,,,,,-263.56915,,-218.70714
7.1297894,0.115,,,,,,,,-262.85565,,
7.8443246,,,,7312.555,,,,,-262.14188,,-218.64055
8.559147,0.135,,257.39026,,,,,,-261.42783,,
9.274269,,,,,,,,,-260.71347,,-218.57393
9.989681,0.155,,,,,,,,-259.99887,,
10.705387,0.165,,,,,,,,-259.28394,,-218.50723
11.421399,,,,,,,,,-258.56866,,
12.137703,0.185,,257.91907,,,,,,-257.85315,,-218.44037
12.854302,0.195,,,,,,,,-257.13733,,
13.571204,,,,,,,,,-256.42123,,-218.3733
14.288382,0.215,,,,,,,,-255.70483,,
15.005839,0.225,,,,,,,,-254.98817,,-218.30602
15.723579,,,258.43448,7339.5737,,,,,-254.27122,,
16.441574,0.245,,,,,,,,-253.55402,,-218.23853
17.159828,0.255,,,7360.4834,,,,,-252.83655,,
17.878357,0.265,,,,,,,,-252.11882,,-218.17084
18.597183,0.275,,,,,,,,-251.40079,,
19.316328,,,258.95062,,,,,,-250.68245,,-218.10287
20.035776,0.295,,,,,,,,-249.9638,,
20.755514,0.305,,,,,,,,-249.24487,,-218.03462
21.475555,0.315,,,,,,,,-248.52565,,
22.195889,0.325,,,,,,,,-247.80614,,-217.96602
22.916508,0.335,,259.4763,,,,,,-247.08633,,
23.637428,,,,,,,,,-246.36623,,-217.89714
24.35864,0.355,,,,,,,,-245.64583,,
25.080132,0.365,,,,,,,,-244.92516,,-217.8281
25.8019,0.375,,,,,,,,-244.20421,,
26.52395,0.385,,259.98798,,,,,,-243.48297,,-217.75897
27.246275,0.395,,,7380.8965,,,,,-242.76147,,
27.968872,0.405,,,,,,,,-242.03969,,-217.68979
28.691746,,,,,,,,,-241.31764,,
29.414892,0.425,,,7402.7593,,,,,-240.59532,,-217.62062
30.138311,0.435,,,,,,,,-239.87273,,
30.862011,0.445,,260.58533,,,,,,-239.14984,,-217.55157
31.586012,0.455,,,,,,,,-238.42665,,
32.31031,0.465,,,,,,,,-237.70317,,-217.48271
33.034904,,,,,,,,,-236.97937,,
33.759785,0.485,,,,,,,,-236.2553,,-217.41412
34.484932,0.495,,261.09985,,,,,,-235.53094,,
35.210354,0.505,,,,,,,,-234.80632,,-217.34587
35.936066,0.515,,,,,,,,-234.0814,,
36.662045,0.525,,,,,,,,-233.35622,,-217.27797
37.38829,0.535,,,7426.1104,,,,,-232.63074,,
38.114815,0.545,,,,,,,,-231.90498,,-217.21046
38.84161,0.555,,261.6959,,,,,,-231.17897,,
39.568676,,,,,,,,,-230.45267,,-217.14334
40.296017,0.575,,,,,,,,-229.72609,,
41.02364,0.585,,,,,,,,-228.99922,,-217.07649
41.751534,0.595,,,7451.6655,,,,,-228.27208,,
42.479713,0.605,,262.19904,,,,,,-227.54465,,-217.00989
43.208187,0.615,,,,,,,,-226.81693,,
43.93695,0.625,,,,,,,,-226.08891,,-216.94344
44.665997,0.635,,,,,,,,-225.36061,,
45.395325,0.645,,,,,,,,-224.63203,,-216.87709
46.124924,0.655,,262.70102,,,,,,-223.90318,,
46.854786,0.665,,,,,,,,-223.17406,,-216.81078
47.5849,0.675,,,,,,,,-222.4447,,
48.315277,0.685,,,7471.8467,,,,,-221.71506,,-216.74448
49.045933,,,,,,,,,-220.98515,,
49.77686,0.705,,,,,,,,-220.25499,,-216.67813
50.508053,0.715,,263.28363,,,,,,-219.52455,,
51.239544,0.725,,,,,,,,-218.7938,,-216.6117
51.971325,0.735,,,,,,,,-218.06276,,
52.70338,0.745,,,,,,,,-217.33145,,-216.54518
53.435703,0.755,,,,,,,,-216.59988,,
54.168316,0.765,,263.7886,,,,,,-215.86803,,-216.47859
54.901188,0.775,,,,,,,,-215.13591,,
55.63432,0.785,,,,,,,,-214.40352,,-216.41193
56.367718,0.795,,,7494.123,,,,,-213.67087,,
57.101383,0.805,,,,,,,,-212.93796,,-216.34525
57.835308,,,,,,,,,-212.20479,,
58.56949,0.825,,264.35352,,,,,,-211.47136,,-216.27855
59.30395,0.835,,,,,,,,-210.73766,,
60.03869,0.845,,,,,,,,-210.00366,,-216.21184
60.77368,0.855,,,7519.9673,,,,,-209.26942,,
61.50895,0.865,,,,,,,,-208.53491,,-216.14513
62.244495,0.875,,,,,,,,-207.80011,,
62.98032,0.885,,264.94644,,,,,,-207.06503,,-216.07843
63.716423,0.895,,,,,,,,-206.3297,,
64.45279,0.905,,,,,,,,-205.59407,,-216.01172
65.18941,0.915,,,,,,,,-204.85822,,
65.9263,0.925,,,,,,,,-204.12209,,-215.94498
66.66345,0.935,,,,,,,,-203.38568,,
67.40085,,,265.50998,7543.237,,,,,-202.64903,,-215.87817
68.13853,0.955,,,,,,,,-201.9121,,
68.87647,0.965,,,,,,,,-201.17491,,-215.81123
69.61466,0.975,,,,,,,,-200.43747,,
70.35313,0.985,,,,,,,,-199.69977,,-215.74419
71.09186,0.995,,,,,,,,-198.96178,,
71.83084,,,266.08093,,,,,,-198.22356,,-215.67702
72.57011,1.015,,,,,,,,-197.48505,,
73.30962,1.025,,,7564.042,,,,,-196.74629,,-215.60966
74.04939,1.035,,,,,,,,-196.00728,,
74.78945,1.045,,,,,,,,-195.26799,,-215.54216
75.52978,1.055,,,,,,,,-194.52843,,
76.27035,1.065,,266.65216,,,,,,-193.78864,,-215.47447
77.011185,1.075,,,,,,,,-193.04857,,
77.752266,1.085,,,,,,,,-192.30826,,-215.4066
78.493614,1.095,,,,,,,,-191.56769,,
79.23524,1.105,,,,,,,,-190.82684,,-215.3386
79.97711,1.115,,,7587.2964,,,,,-190.08574,,
80.719246,1.125,,267.21924,,,,,,-189.34439,,-215.27048
81.46166,1.135,,,,,,,,-188.60274,,
82.20433,1.145,,,,,,,,-187.86086,,-215.20229
82.94726,1.155,,,,,,,,-187.1187,,
83.690445,1.165,,,,,,,,-186.37628,,-215.134
84.43389,1.175,,,,,,,,-185.63362,,
85.1776,1.185,,267.78577,,,,,,-184.8907,,-215.06564
85.92158,1.195,,,,,,,,-184.14749,,
86.6658,1.205,,,7609.8755,,,,,-183.40407,,-214.99721
87.410286,1.215,,,,,,,,-182.66035,,
88.15504,1.225,,,,,,,,-181.91638,,-214.9287
88.90003,1.235,,,,,,,,-181.17218,,
89.64529,1.245,,268.34537,,,,,,-180.4277,,-214.86012
90.390816,,,,,,,,,-179.68295,,
91.13657,1.265,,,,,,,,-178.93799,,-214.7915
91.8826,1.275,,,,,,,,-178.19275,,
92.62889,1.285,,,,,,,,-177.44724,,-214.7228
93.37543,1.295,,,7632.763,,,,,-176.70149,,
94.12222,1.305,,268.8939,,,,,,-175.95549,,-214.65399
94.869255,1.315,,,,,,,,-175.20923,,
95.61654,1.325,,,,,,,,-174.46275,,-214.58511
96.36409,1.335,,,,,,,,-173.71599,,
97.111885,1.345,,,,,,,,-172.96898,,-214.51613
97.85992,1.355,,,7653.2085,,,,,-172.22174,,
98.60822,1.365,,269.4393,,,,,,-171.47421,,-214.44705
99.35679,1.375,,,,,,,,-170.72644,,
100.1056,1.385,,,,,,,,-169.97842,,-214.37785
100.85469,1.395,,,,,,,,-169.23013,,
101.604034,1.405,,,,,,,,-168.48158,,-214.30852
102.35363,1.415,,,,,,,,-167.7328,,
103.10349,1.425,,269.99722,,,,,,-166.98373,,-214.23903
103.8536,1.435,,,,,,,,-166.23442,,
104.60395,1.445,,,,,,,,-165.48488,,-214.16943
105.35457,1.455,,,,,,,,-164.73506,,
106.10541,1.465,,,,,,,,-163.98503,,-214.09975
106.85651,1.475,,,,,,,,-163.23474,,
107.60784,1.485,,270.52295,7682.006,,,,,-162.4842,,-214.02998
108.359406,1.495,,,,,,,,-161.73344,,
109.11121,,,,,,,,,-160.98244,,-213.9601
109.863266,1.515,,,7702.128,,,,,-160.2312,,
110.61556,1.525,,,,,,,,-159.47972,,-213.89014
111.36813,1.535,,,,,,,,-158.72795,,
112.12098,1.545,,271.06897,,,,,,-157.97592,,-213.82008
112.87408,1.555,,,,,,,,-157.22365,,
113.62744,1.565,,,,,,,,-156.47108,,-213.74988
114.38106,1.575,,,,,,,,-155.71828,,
115.1349,1.585,,,,,,,,-154.96526,,-213.67952
115.888985,1.595,,,,,,,,-154.21198,,
116.64331,1.605,,271.59842,,,,,,-153.45847,,-213.60904
117.39788,1.615,,,,,,,,-152.70473,,
118.152695,1.625,,,,,,,,-151.95073,,-213.53844
118.90774,1.635,,,7723.578,,,,,-151.19652,,
119.663025,1.645,,,,,,,,-150.44206,,-213.46776
120.41856,1.655,,,,,,,,-149.68735,,
121.174324,1.665,,272.1143,,,,,,-148.93242,,-213.39702
121.930336,1.675,,,,,,,,-148.17722,,
122.68663,1.685,,,,,,,,-147.42174,,-213.32611
123.44317,1.695,,,,,,,,-146.66603,,
124.19995,1.705,,,,,,,,-145.91008,,-213.25504
124.957,1.715,,,,,,,,-145.15385,,
125.714294,1.725,,272.662,,,,,,-144.39742,,-213.18373
126.47182,1.735,,,,,,,,-143.64072,,
127.229576,1.745,,,7743.6777,,,,,-142.88379,,-213.11226
127.987564,,,,,,,,,-142.12666,,
128.74577,1.765,,,,,,,,-141.36928,,-213.0407
129.50423,1.775,,,,,,,,-140.61168,,
130.26292,1.785,,273.18222,,,,,,-139.85382,,-212.96904
131.02188,1.795,,,7764.103,,,,,-139.09572,,
131.78107,1.805,,,,,,,,-138.33736,,-212.89728
132.5405,1.815,,,,,,,,-137.57878,,
133.3002,1.825,,,,,,,,-136.81993,,-212.82535
134.06013,1.835,,,,,,,,-136.0608,,
134.82033,1.845,,273.7184,,,,,,-135.30148,,-212.75322
135.58078,1.855,,,,,,,,-134.5419,,
136.34145,1.865,,,,,,,,-133.78207,,-212.68083
137.10231,1.875,,,,,,,,-133.02208,,
137.86345,1.885,,,,,,,,-132.26181,,-212.60822
138.6248,1.895,,,,,,,,-131.50131,,
139.38638,1.905,,,7789.6587,,,,,-130.7406,,-212.53542
140.1482,1.915,,274.29977,,,,,,-129.97966,,
140.91026,1.925,,,,,,,,-129.21846,,-212.4625
141.67256,1.935,,,,,,,,-128.45703,,
142.43509,1.945,,,,,,,,-127.69538,,-212.38943
143.19785,1.955,,,,,,,,-126.9335,,
143.96086,1.965,,,,,,,,-126.17135,,-212.31616
144.72412,1.975,,274.81564,,,,,,-125.40896,,
145.48763,1.985,,,,,,,,-124.64634,,-212.24268
146.25136,1.995,,,,,,,,-123.88348,,
147.01532,,,,7810.688,,,,,-123.12039,,-212.16907
147.77953,2.015,,,,,,,,-122.357086,,
148.54395,,,,,,,,,-121.59354,,-212.09534
149.3086,2.035,,,,,,,,-120.82978,,
150.07347,,,275.3981,,,,,,-120.065796,,-212.0215
150.83858,2.055,,,,,,,,-119.30157,,
151.60391,,,,,,,,,-118.53711,,-211.94756
152.36949,2.075,,,7831.1323,,,,,-117.772415,,
153.13531,,,,,,,,,-117.007484,,-211.87355
153.90135,2.095,,,,,,,,-116.24235,,
154.66762,,,275.90213,,,,,,-115.47696,,-211.79948
155.43413,2.115,,,,,,,,-114.711334,,
156.20088,,,,,,,,,-113.94548,,-211.72533
156.96786,2.135,,,,,,,,-113.1794,,
157.7351,2.145,,,,,,,,-112.41305,,-211.65118
158.5026,,,,,,,,,-111.646454,,
159.2703,2.165,,276.40656,,,,,,-110.87965,,-211.57703
160.0382,,,,7855.142,,,,,-110.11263,,
160.80634,2.185,,,,,,,,-109.34539,,-211.50287
161.5747,,,,,,,,,-108.577896,,
162.34329,2.205,,,,,,,,-107.8102,,-211.42874
163.11209,,,,,,,,,-107.04229,,
163.88113,2.225,,,,,,,,-106.27415,,-211.35458
164.65039,,,276.9662,,,,,,-105.50579,,
165.41983,2.245,,,,,,,,-104.73723,,-211.28046
166.18951,,,,,,,,,-103.96844,,
166.95943,2.265,,,,,,,,-103.19941,,-211.20642
167.72957,,,,,,,,,-102.43016,,
168.49994,2.285,,,,,,,,-101.66067,,-211.13252
169.27054,,,,7876.289,,,,,-100.89093,,
170.04137,2.305,,277.53992,,,,,,-100.12098,,-211.05876
170.81244,,,,,,,,,-99.35079,,
171.58376,2.325,,,,,,,,-98.58035,,-210.98514
172.35532,,,,,,,,,-97.809654,,
173.12709,2.345,,,,,,,,-97.03876,,-210.91165
173.8991,,,,,,,,,-96.26762,,
174.67134,2.365,,278.0553,,,,,,-95.49622,,-210.83832
175.44383,,,,,,,,,-94.7246,,
176.21654,2.385,,,,,,,,-93.95276,,-210.7651
176.98944,2.395,,,7897.6636,,,,,-93.18071,,
177.76253,,,,,,,,,-92.408485,,-210.69205
178.53584,2.415,,,,,,,,-91.63603,,
179.30937,,,,,,,,,-90.863365,,-210.61916
180.08311,2.435,,278.58252,,,,,,-90.09046,,
180.85707,,,,,,,,,-89.31737,,-210.54648
181.63123,2.455,,,,,,,,-88.54405,,
182.4056,,,,7919.911,,,,,-87.77052,,-210.47403
183.18019,2.475,,,,,,,,-86.99677,,
183.955,,,,,,,,,-86.22279,,-210.40175
184.73004,2.495,,,,,,,,-85.4486,,
185.50528,,,279.12744,,,,,,-84.67419,,-210.32964
186.28073,2.515,,,,,,,,-83.89956,,
187.05641,,,,,,,,,-83.124725,,-210.25768
187.83229,2.535,,,,,,,,-82.34966,,
188.6084,,,,,,,,,-81.57438,,-210.18584
189.38472,2.555,,,7942.6587,,,,,-80.7989,,
190.16125,,,,,,,,,-80.02317,,-210.11417
190.93802,2.575,,279.67178,,,,,,-79.24722,,
191.71501,,,,,,,,,-78.47106,,-210.04263
192.49223,2.595,,,,,,,,-77.69465,,
193.26968,,,,,,,,,-76.918015,,-209.9712
194.04736,2.615,,,,,,,,-76.14114,,
194.82527,,,,,,,,,-75.36406,,-209.89986
195.60338,2.635,,,,,,,,-74.58676,,
196.38171,2.645,,280.23468,,,,,,-73.80924,,-209.8286
197.16025,,,,,,,,,-73.03152,,
197.93898,2.665,,,,,,,,-72.25359,,-209.75743
198.71794,,,,,,,,,-71.47545,,
199.4971,2.685,,,7963.6846,,,,,-70.69709,,-209.68642
200.27646,,,,,,,,,-69.91853,,
201.05605,2.705,,,,,,,,-69.139755,,-209.61557
201.83582,,,280.7549,,,,,,-68.36077,,
202.6158,2.725,,,,,,,,-67.58158,,-209.54483
203.39603,,,,,,,,,-66.80217,,
204.17645,2.745,,,,,,,,-66.02254,,-209.47418
204.95708,,,,,,,,,-65.2427,,
205.73793,2.765,,,,,,,,-64.46262,,-209.4036
206.51898,,,,,,,,,-63.682377,,
207.30025,2.785,,281.29233,7986.1816,,,,,-62.90191,,-209.33311
208.08171,,,,,,,,,-62.121235,,
208.86337,2.805,,,,,,,,-61.340366,,-209.26276
209.64525,,,,,,,,,-60.55927,,
210.42735,2.825,,,,,,,,-59.777958,,-209.1925
211.20964,,,,,,,,,-58.996445,,
211.99217,2.845,,,,,,,,-58.2147,,-209.12231
212.7749,,,281.8142,,,,,,-57.432755,,
213.55782,2.865,,,,,,,,-56.650604,,-209.0522
214.34096,,,,,,,,,-55.868233,,
215.12433,2.885,,,,,,,,-55.085655,,-208.98213
215.9079,2.895,,,,,,,,-54.30287,,
216.69165,,,,,,,,,-53.519882,,-208.91208
217.47559,2.915,,,8010.2505,,,,,-52.736725,,
218.25974,,,282.33112,,,,,,-51.953358,,-208.8421
219.04405,2.935,,,,,,,,-51.169807,,
219.82858,,,,,,,,,-50.38606,,-208.77219
220.61336,2.955,,,,,,,,-49.60206,,
221.39832,,,,,,,,,-48.817883,,-208.70233
222.18346,2.975,,,,,,,,-48.0335,,
222.96883,,,,,,,,,-47.248894,,-208.63254
223.7544,2.995,,282.8363,,,,,,-46.46411,,
224.54016,,,,,,,,,-45.679108,,-208.56273
225.32616,3.015,,,,,,,,-44.893883,,
226.11234,,,,,,,,,-44.10847,,-208.49286
226.89874,3.035,,,,,,,,-43.322857,,
227.68535,,,,8030.2554,,,,,-42.537025,,-208.42293
228.47212,3.055,,,,,,,,-41.751015,,
229.25911,,,283.35275,,,,,,-40.964798,,-208.35292
230.04628,3.075,,,,,,,,-40.178413,,
230.83363,,,,,,,,,-39.39184,,-208.28285
231.62119,3.095,,,,,,,,-38.605057,,
232.40892,,,,,,,,,-37.8181,,-208.21274
233.19688,3.115,,,,,,,,-37.030914,,
233.98505,,,,8052.9136,,,,,-36.24353,,-208.14252
234.77338,3.135,,,,,,,,-35.455986,,
235.56192,3.145,,283.91907,,,,,,-34.66822,,-208.07216
236.35066,,,,,,,,,-33.880257,,
237.13959,3.165,,,,,,,,-33.092117,,-208.00168
237.92873,,,,,,,,,-32.30377,,
238.71805,3.185,,,,,,,,-31.51524,,-207.93098
239.50757,,,,,,,,,-30.726519,,
240.29727,3.205,,,,,,,,-29.937593,,-207.86005
241.08716,,,,,,,,,-29.148518,,
241.87723,3.225,,284.46582,,,,,,-28.359247,,-207.7889
242.66748,,,,,,,,,-27.569786,,
243.45792,3.245,,,,,,,,-26.780167,,-207.71751
244.24854,,,,,,,,,-25.990341,,
245.03934,3.265,,,8079.0493,,,,,-25.200357,,-207.64594
245.83032,,,,,,,,,-24.410189,,
246.6215,3.285,,,,,,,,-23.619795,,-207.57414
247.41287,,,,,,,,,-22.829256,,
248.20444,3.305,,285.01004,,,,,,-22.038498,,-207.50212
248.99622,,,,,,,,,-21.247547,,
249.78815,3.325,,,,,,,,-20.456444,,-207.42987
250.58028,,,,,,,,,-19.66513,,
251.3726,3.345,,,,,,,,-18.873636,,-207.35733
252.16508,,,,,,,,,-18.081982,,
252.9578,3.365,,,,,,,,-17.290106,,-207.28448
253.7507,,,,,,,,,-16.498037,,
254.54378,3.385,,285.53418,8100.884,,,,,-15.7058115,,-207.21132
255.33702,3.395,,,,,,,,-14.913394,,
256.13046,,,,,,,,,-14.120804,,-207.13785
256.92407,3.415,,,,,,,,-13.328035,,
257.7179,,,,,,,,,-12.535077,,-207.06409
258.51187,3.435,,,,,,,,-11.741973,,
259.30603,,,,,,,,,-10.948671,,-206.99007
260.10034,3.455,,,,,,,,-10.155208,,
260.89487,,,286.06293,,,,,,-9.361572,,-206.91579
261.68954,3.475,,,,,,,,-8.567729,,
262.4844,,,,,,,,,-7.773749,,-206.84128
263.27942,3.495,,,,,,,,-6.9796104,,
264.07462,,,,,,,,,-6.1852813,,-206.76654
264.87,3.515,,,,,,,,-5.3908,,
265.66553,,,,,,,,,-4.596137,,-206.69156
266.46124,3.535,,,8123.7104,,,,,-3.8013191,,
267.2571,,,,,,,,,-3.006326,,-206.6164
268.0532,3.555,,286.61694,,,,,,-2.211123,,
268.84943,,,,,,,,,-1.4157783,,-206.54102
269.64587,3.575,,,,,,,,-0.62023157,,
270.44247,,,,,,,,,0.17548454,,-206.46538
271.23923,3.595,,,,,,,,0.9713321,,
272.03616,,,,,,,,,1.7673702,,-206.38947
272.8333,3.615,,,,,,,,2.5635931,,
273.63058,,,,,,,,,3.3599708,,-206.3132
274.42798,3.635,,,8066.9287,,,,0.0,4.156496,,
275.22522,3.645,,,7970.803,,,,,4.9528065,,-206.23657
276.02213,,,,7875.709,,,,,5.7487655,,
276.8187,3.665,,,7781.6304,,,,,6.5443974,,-206.15968
277.61502,,,,7683.0205,,,,7.0,7.3397717,,
278.4112,3.685,,,7486.956,,,,,8.13499,,-206.08252
279.2072,,,,7185.347,,,,,8.930042,,
280.0031,3.705,,,7104.9326,,,,,9.725016,,-206.00507
280.7991,,,,7128.0176,,,,,10.520049,,
281.5952,3.725,,,,,,,,11.315226,,-205.92729
282.39154,,,,,,,,,12.11058,,
283.18805,3.745,,,,,,,,12.906162,,-205.84909
283.98477,,,,,,,,,13.701893,,
284.78165,3.765,,,,,,,,14.497812,,-205.77045
285.5787,,,,7151.882,,,,,15.2939005,,
286.37592,3.785,,,,,,,,16.090126,,-205.69139
287.17328,,,,,,,,,16.886513,,
287.97086,3.805,,287.1472,,,,,,17.683079,,-205.61203
288.76855,,,,,,,,,18.479795,,
289.56644,3.825,,,,,,,,19.276691,,-205.53247
290.36447,,,,,,,,,20.073748,,
291.16272,3.845,,,,,,,,20.870987,,-205.4528
291.96115,,,,,,,,,21.668419,,
292.7597,3.865,,,,,,,,22.466,,-205.3731
293.55847,,,,,,,,,23.263754,,
294.3574,3.885,,,,,,,,24.061693,,-205.2933
295.15646,3.895,,287.69766,7171.938,,,,,24.85979,,
295.95575,,,,,,,,,25.658064,,-205.21352
296.7552,3.915,,,,,,,,26.456509,,
297.55478,,,,,,,,,27.255127,,-205.1338
298.35458,3.935,,,,,,,,28.053944,,
299.15454,,,,,,,,,28.852919,,-205.05426
299.9547,3.955,,,,,,,,29.652102,,
300.75507,,,,,,,,,30.45146,,-204.97485
301.55554,3.975,,288.20612,,,,,,31.250973,,
302.35623,,,,,,,,,32.05068,,-204.89557
303.1571,3.995,,,,,,,,32.850574,,
303.95813,,,,,,,,,33.650623,,-204.81644
304.7593,4.015,,,,,,,,34.450848,,
305.56067,4.025,,,,,,,,35.251247,,-204.73749
306.3622,,,,,,,,,36.05182,,
307.16394,4.045,,,7198.405,,,,,36.852573,,-204.65886
307.96582,,,288.71902,,,,-0.4429462,,37.65351,,
308.7679,4.065,,,,,,,,38.45465,,-204.5806
309.57013,,,,,,,,,39.255924,,
310.3725,4.085,,,,,,,,40.05736,,-204.50278
311.17505,,,,,,,,,40.858997,,
311.9778,4.105,,,,,,,,41.66081,,-204.42543
312.7807,,,,,,,,,42.462795,,
313.58377,4.125,,,,,,,,43.26496,,-204.34865
314.387,,,,,,,,,44.067295,,
315.19043,4.145,,289.26343,,,,,,44.869816,,-204.27258
315.99402,4.155,,,,,,,,45.672523,,
316.79776,,,,,,,,,46.4754,,-204.19728
317.60168,4.175,,,,,,,,47.27846,,
318.40576,,,,7223.4243,,,,,48.081688,,-204.1228
319.21002,4.195,,,,,,,,48.885098,,
320.01447,,,,,,,,,49.688698,,-204.04915
320.81906,4.215,,,,,,,,50.492477,,
321.62384,,,,,,,,,51.29644,,-203.97636
322.42877,4.235,,289.81012,,,,,,52.100594,,
323.2339,,,,,,,,,52.904922,,-203.90453
324.03918,4.255,,,,,,,,53.70942,,
324.8446,,,,,,,,,54.514072,,-203.83366
325.6502,4.275,,,,,,,,55.318913,,
326.45596,,,,,,,,,56.123936,,-203.7638
327.26193,4.295,,,,,,,,56.929153,,
328.06808,,,,,,,,,57.734585,,-203.6949
328.8744,4.315,,,,,,,,58.54017,,
329.68088,,,290.36148,,,,,,59.34594,,-203.62697
330.48752,4.335,,,,,,,,60.15189,,
331.29434,,,,,,,,,60.958015,,-203.55998
332.1013,4.355,,,7250.587,,,,,61.764305,,
332.90842,,,,,,,,,62.57076,,-203.49394
333.7157,4.375,,,,,,,,63.3774,,
334.52313,,,,,,,,,64.1842,,-203.42885
335.33075,4.395,,,,,,,,64.991165,,
336.13855,4.405,,,,,,,,65.79833,,-203.36469
336.9465,,,290.8916,,,,,,66.60568,,
337.75464,4.425,,,,,,,,67.41319,,-203.30144
338.56296,,,,,,,,,68.22092,,
339.37143,4.445,,,,,,,,69.02879,,-203.23914
340.18005,,,,,,,,,69.83683,,
340.98886,4.465,,,,,,,,70.645065,,-203.17783
